"SDG Goal","SDG Target","Business Theme","Type of Indicator","Indicator Source","Indicator Description","Indicator ID","Date"
"1. End poverty in all its forms everywhere","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance","Access to financial services","Sector-specific","GRI G4 Financial Services Sector Disclosures","Access points in low-populated or economically disadvantaged areas by type","FS13","2015"
"1. End poverty in all its forms everywhere","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance","Physical and economic displacement","Sector-specific","GRI G4 Electric Utilities Sector Disclosures","Approach to managing the impacts of displacement","former EU20","2015"
"1. End poverty in all its forms everywhere","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance","Access to financial services","Sector-specific","Women's World Banking Gender Performance Indicators","Average initial loan balance as a percent of per capita Gross National Income (GNI), by gender","N/A","2015"
"1. End poverty in all its forms everywhere","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance","Electricity access","Sector-specific","GRI G4 Electric Utilities Sector Disclosures","Average plant availability factor by energy source and by regulatory regime","EU30","2015"
"1. End poverty in all its forms everywhere","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance","Electricity access","Sector-specific","GRI G4 Electric Utilities Sector Disclosures","Average power outage duration","EU29","2015"
"1. End poverty in all its forms everywhere","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance","Access to financial services","Sector-specific","Women's World Banking Gender Performance Indicators","Client retention rate, by gender","N/A","2015"
"1. End poverty in all its forms everywhere","1.5 By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters","Disaster/emergency planning and response","Sector-specific","GRI G4 Electric Utilities Sector Disclosures","Contingency planning measures, disaster/emergency management plan and training programs, and recovery/restoration plans","former EU21","2015"
"1. End poverty in all its forms everywhere","1.4 By 2030, ensure that all men and women, in particular the poor and the vulnerable, have equal rights to economic resources, as well as access to basic services, ownership and control over land and other forms of property, inheritance, natural resources, appropriate new technology and financial services, including microfinance","Economic inclusion","General","GRI G4 Sustainability Reporting Guidelines","Describe policies and practices used to promote economic inclusion when selecting suppliers. Forms of economic inclusion may include: suppliers owned by women; suppliers owned or staffed by members of vulnerable, marginalized or underrepresented social groups; and small and medium sized suppliers.","G4-DMA-b Guidance for Procurement Practices","2015"
"1. End poverty in all its forms everywhere","1.1 By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day ","Earnings, wages and benefits","General","UN Global Compact-Oxfam Poverty Footprint","Do major employers along the value chain and the wider Company system negotiate wage and benefits standards through collective agreement?","PF - 1.12","2015"
"1. End poverty in all its forms everywhere","1.1 By 2030, eradicate extreme poverty for all people everywhere, currently measured as people living on less than $1.25 a day ","Earnings, wages and benefits","General","UN Global Compact-Oxfam Poverty Footprint","Does the Company have a mechanism/policy/code that seeks to ensure that small-scale suppliers, smallholders and/or distributors are paid a fair price for goods, services, and/or crops supplied to the Company, enabling sustainable trade? If yes, provide details.","PF - 1.11","2015"
